ds,yhat,yhat_lower,yhat_upper
2021-01-29,1904.0226833238357,1643.5487272295431,2174.20547580978
2021-01-31,1814.3600407293038,1547.5256884680691,2094.2159532381042
2021-02-02,1890.2205977537662,1634.0025219939218,2159.85872944841
2021-02-03,1888.1083967123793,1622.0903270882247,2185.5230801707207
2021-02-04,1882.1216192911863,1583.785816425855,2153.5837817827164
2021-02-05,1882.5247008670488,1614.260303166901,2177.5460740986473
2021-02-08,1873.5059929300219,1611.2429002898682,2171.105440166604
2021-02-09,1869.0203936843182,1593.5616473327798,2148.397063830602
2021-02-10,1867.6244259795144,1604.490712430572,2158.4439900509833
2021-02-11,1862.649086548898,1581.6947435454488,2139.3792243962016
2021-02-15,1861.0811625710944,1608.0077418265046,2131.7136899847596
2021-02-16,1859.0536153091423,1586.7611417638298,2120.549548949978
2021-02-17,1860.3454424843032,1586.7038005120426,2140.086785726483
2021-02-18,1858.2505522425968,1574.8079969543428,2152.02303855688
2021-02-19,1862.9980212894304,1568.1616507946242,2148.6151896215447
2021-02-22,1869.1852229946371,1586.4825977346734,2140.745468277436
2021-02-23,1870.2550799083942,1602.1101314939333,2161.726066145256
2021-02-24,1874.5155117377426,1585.3366439689014,2143.763332585137
2021-02-25,1875.2013235317636,1588.2840342503391,2168.4405355058966
2021-02-26,1882.4845085239783,1594.9918172254909,2166.6297972184275
2021-02-27,1894.5504729953714,1618.8134281879713,2168.5967246379796
2021-03-03,1901.3168531084568,1630.3577585544538,2180.1618346794608
2021-03-04,1902.1464853277284,1619.6547417775544,2179.699503853865
2021-03-05,1909.0899916514807,1594.5924607261081,2183.366759925313
2021-03-06,1920.3327566163496,1621.046916522362,2200.6258021499607
2021-03-08,1917.031547359245,1629.7990017590969,2194.8529452697935
2021-03-09,1916.9979825085463,1629.7637124560288,2201.0173813331917
2021-03-10,1919.3138458589576,1638.5882916655696,2196.045455234492
2021-03-11,1917.2411917581408,1644.4940525166535,2222.257815471715
2021-03-12,1920.9959324130489,1648.1030189809383,2189.83687785576
2021-03-15,1918.2742424611909,1665.4891850259173,2197.8189851197403
2021-03-16,1914.5469370633546,1648.1310111926175,2195.0587289357486
2021-03-17,1913.2169931460046,1624.0592617998989,2184.7613680802206
2021-03-18,1907.6165140732608,1634.1448396002188,2201.356264631972
2021-03-19,1908.0290120072052,1627.9737240315246,2200.339520605706
2021-03-22,1897.0036915522028,1623.7456950477754,2183.668991808077
2021-03-23,1891.2550744958623,1633.3545306095273,2173.036717200538
2021-03-24,1888.34394729669,1612.5151806480305,2185.2893660113696
2021-03-26,1881.4115226233982,1609.2022089310685,2159.2232239440023
2021-03-30,1866.952769602194,1592.0138011233291,2136.3694369013306
2021-03-31,1865.7437685312486,1577.4541792265195,2159.3887828405245
2021-04-07,1862.8845728741549,1580.0609026560667,2132.82071703716
2021-04-08,1861.494826455223,1578.2322533800166,2144.986767155384
2021-04-12,1874.0716216212247,1589.5763406239853,2175.669873394846
2021-04-16,1886.0834574614532,1603.5013128613332,2194.3344073575954
2021-04-19,1894.8846413193996,1598.5199811165755,2172.8072875560097
2021-04-20,1895.7232039104838,1606.0090690469594,2191.176429152845
2021-04-21,1899.1980894110745,1596.0068224455708,2176.9438349646302
2021-04-22,1898.561525001505,1616.8302635848472,2172.198276842527
2021-04-23,1904.0151276339143,1636.1535617040843,2191.028150161526
2021-04-26,1907.755144705662,1629.1725474898094,2191.437992310896
2021-04-27,1906.5437511151545,1629.7672313682906,2174.2167992694403
2021-04-29,1904.9767040879522,1626.0568109851795,2158.3038184627253
2021-04-30,1908.1534920263864,1637.5783612475022,2174.705577402351
2021-05-05,1901.2503177346543,1624.7913024374197,2177.9558870266665
2021-05-06,1896.5463207711987,1615.2349214848316,2178.3707198251705
2021-05-07,1898.0498128061713,1600.3353301282152,2179.0803353414944
2021-05-10,1891.1036457192934,1588.6607826084594,2188.3549566975657
2021-05-11,1886.839998089136,1594.03769985387,2160.5634884134283
2021-05-12,1885.3973946630776,1588.133083688937,2148.3557870627337
2021-05-13,1880.0857609715458,1604.9993933104142,2159.506838852956
2021-05-17,1873.9231222347173,1591.7575954641818,2170.4884863142524
2021-05-18,1869.8805514281944,1575.230876900044,2149.741838496948
2021-05-19,1868.8094350971216,1589.2395753834808,2164.8699378965107
2021-05-20,1864.0158977267627,1578.0991894034178,2124.382272365749
2021-05-21,1865.7498259988351,1564.375606634488,2145.576114061468
2021-05-24,1861.3516841407322,1583.9892550435513,2134.6382490010246
2021-05-25,1858.5387216041254,1594.1317377097537,2151.0409856247516
2021-05-26,1858.8410370953934,1574.5934680526857,2134.5107238051482
2021-05-27,1855.5660409356506,1576.4957946722295,2126.5851334782797
2021-05-28,1858.9644781226727,1585.8545695487248,2139.4895379918485
2021-05-31,1860.4278269158372,1591.3175552022194,2126.1951191348835
2021-06-24,1958.7292843955984,1666.7482658572717,2244.78227370692
2021-06-25,1965.4811862873098,1670.6148306335463,2238.5241561492157
2021-06-28,1971.4168056502015,1693.0878863207352,2243.2623829391973
2021-06-29,1970.310170170676,1706.5104215664305,2252.7701552253516
2021-06-30,1971.391077647146,1676.4017827639946,2240.473280721234
2021-07-13,1924.7862127487251,1648.4678170800696,2209.9773005023
2021-07-14,1921.15795551197,1630.3860143767479,2194.3046181988493
2021-07-15,1913.9363851512035,1628.1031368909228,2168.9504195246845
2021-07-16,1913.4373861883353,1633.5428023095571,2194.082387291141
2021-07-19,1904.0748370781116,1626.9223479905138,2180.5408124266596
2021-07-20,1900.3309765693593,1618.4340637589562,2181.3794420749923
2021-07-22,1896.7376697842822,1623.5413946228023,2158.546714199883
2021-07-23,1900.4584452680592,1626.7710797964014,2171.4233771418703
2021-07-26,1905.2460824658067,1630.934324396904,2188.8692878092716
2021-07-27,1906.445724263896,1628.504475787547,2171.4731683921423
2021-07-28,1911.1432078875318,1637.2218696557557,2185.4857291461253
2021-07-29,1912.5736120986044,1653.5006993658599,2179.2880006513087
2021-07-30,1920.9058994465918,1643.9976879364278,2215.728892849613
2021-09-06,1986.9145118464298,1722.1727683383833,2279.0428907218675
2021-09-07,1986.1913700867858,1721.1704294901874,2261.5034064427896
2021-09-08,1988.7889946532903,1687.8847285321838,2288.3597526511453
2021-09-09,1987.981677528753,1690.0545452052015,2287.638398190542
2021-09-13,2003.4643964171423,1726.9758655970477,2286.192627930634
2021-09-14,2005.4193269033274,1733.1961401634646,2274.0994017288544
2021-09-15,2010.4287194304038,1713.2526164349447,2290.9248176108267
2021-09-16,2011.7138716363581,1734.0287768904684,2281.676646605952
2021-09-17,2019.4363051764299,1738.6428980006037,2286.5852007378303
2021-09-20,2031.5511861491866,1754.8424978558007,2315.988607407694
2021-09-21,2033.454470721145,1752.6702217792686,2308.103130762093
2021-09-22,2037.9317520308941,1766.5135704129136,2330.675829274274
2021-09-23,2038.2078970463695,1747.976566591522,2341.3152298715363
2021-09-24,2044.1769400127764,1752.5189062877369,2321.499362763168
2021-09-27,2048.4981426928657,1775.8286876891093,2334.2938158069237
2021-09-28,2047.0820973808732,1780.416550148362,2319.0827384046825
2021-09-29,2047.9577923903626,1758.993509807082,2325.7023821455755
2021-09-30,2044.4055046799579,1774.9720869489433,2324.215072277565
2021-12-14,1922.4516571358838,1665.3631894500527,2204.65895051663
2021-12-15,1926.035455894896,1658.8556884034838,2202.934023579674
2021-12-16,1925.8843397177147,1634.2665576300526,2200.711262608032
2021-12-17,1932.1683881979388,1652.0602672111522,2199.937797303316
2021-12-20,1940.0760051942877,1666.0015895094698,2205.4112400679683
2021-12-21,1940.6636428741895,1650.2875818235457,2217.7363609245012
2021-12-22,1943.8985309232353,1672.607151068094,2217.125000699129
2021-12-23,1943.0254333681694,1665.582914367739,2222.3574246875855
2021-12-24,1948.2390206006542,1671.0586107163613,2212.605886442412
2021-12-27,1951.1828360170332,1675.9916552423044,2242.5193123950426
2021-12-28,1949.6687462927111,1681.8937539094377,2241.559803204823
2021-12-29,1950.655153781916,1651.6958526802373,2235.2736426893453
2021-12-30,1947.4354388955567,1657.8261765649706,2227.615991694638
2021-12-31,1950.2528937234124,1695.04427019225,2238.643900441899
2022-01-03,1946.1730916663355,1673.3259651175379,2235.7841396421927
2022-01-04,1942.511064185396,1664.2241901520415,2223.6073043243537
2022-01-05,1941.5042624744517,1650.7681122193492,2225.534637578297
2022-01-06,1936.4726889058763,1653.7607899289499,2215.4876873615362
2022-01-07,1937.6800014666267,1661.6764990689376,2209.938882156534
2022-01-10,1930.0845757492734,1654.6072861002024,2199.4583859335553
2022-01-11,1925.6906812960551,1630.7913398350547,2221.269222924127
2022-01-12,1924.1571692515092,1663.703032761368,2224.995341096474
2022-01-13,1918.7866842186436,1649.5329901556304,2211.3510672961443
2022-01-19,1906.9325553365916,1639.3425524318534,2189.6702885496547
2022-01-21,1902.9817871306545,1609.0639043077379,2198.340756834747
2022-01-24,1895.6480941672996,1611.1949158224677,2159.144886668912
2022-01-25,1891.2772465847324,1643.9006453388056,2165.661438650215
2022-01-27,1884.1037779564044,1601.882582942635,2150.1452194382914
2022-01-28,1884.7977158762378,1601.5934191400534,2148.8543385706203
2022-01-29,1889.9978941692132,1599.6846193531032,2166.590134223827
2022-01-31,1875.4667796974052,1610.084127963157,2169.6062725019615
2022-02-02,1868.0289564536686,1573.896466906341,2147.1704997924653
2022-02-03,1861.7886016768387,1575.5580621638994,2124.741125571635
2022-02-04,1861.8956290124113,1574.528730322384,2147.8282216906264
2022-02-07,1851.687229985436,1563.0083832962991,2145.2381733376897
2022-02-08,1846.694451643203,1585.8782636419235,2123.4664917685723
2022-02-09,1844.7341416745478,1569.7463473820999,2130.2758058471495
2022-02-10,1839.1382973532195,1557.7675761838113,2106.0891071885812
2022-02-11,1840.1819256373499,1584.308863163228,2130.012203232282
2022-02-15,1831.7346189568736,1551.9385654689652,2088.885111355678
2022-02-16,1832.1699426359735,1560.7631117834294,2122.0508413112675
2022-02-17,1829.2076696662737,1567.5516088276631,2103.3851278120997
2022-02-18,1833.0874220232138,1563.134316874784,2113.6607060353867
2022-02-21,1836.7799560014732,1561.5707565383,2133.949774219432
2022-02-22,1837.091137805571,1565.2869356043245,2114.738692272613
2022-02-23,1840.646727304436,1551.4039461556044,2117.9455750147
2022-02-24,1840.6908479469691,1567.0938053708505,2133.227676881267
2022-02-25,1847.4037322965007,1574.606739082506,2121.7599336101666
2022-02-28,1857.9955248126773,1578.1396945133197,2124.620066956385
2022-03-01,1859.9067790190581,1578.6900062456284,2138.8665389823936
2022-03-02,1864.6440913258043,1580.892208243821,2140.2971327086866
2022-03-03,1865.4215521693873,1587.4579582753674,2153.6398748700817
2022-03-04,1872.3979790937244,1579.677564281194,2160.186200098201
2022-03-07,1880.8885980534264,1610.6202711985154,2138.119224243919
2022-03-08,1881.160173534989,1578.1859792176056,2171.181778761608
2022-03-09,1883.8248928336525,1584.7484144519947,2152.5874593265876
2022-03-10,1882.1328390068768,1604.8955482800984,2148.527690572337
2022-03-11,1886.2872558501604,1610.7963314221447,2162.2105156673
2022-03-14,1884.7476786742086,1614.1035066358115,2177.266095783953
2022-03-15,1881.3654017688518,1587.3926500204398,2166.030724308263
2022-03-16,1880.3354868498782,1605.7817432243744,2159.773209710408
2022-03-18,1875.5696502620804,1595.6110821782368,2158.0184683119364
2022-03-21,1864.6070144353023,1580.2645836789902,2146.803500361086
2022-03-22,1858.7048552583005,1573.8017747900803,2144.573789440404
2022-03-23,1855.5488724781783,1568.7413043251331,2135.081374077063
2022-03-24,1848.4983018054054,1566.5899566651076,2142.6113036114084
2022-03-25,1847.855962668961,1569.515799858528,2138.582954886873
2022-03-26,1851.941953345856,1567.2224377479242,2142.828920721363
2022-03-27,1755.9676254400947,1480.2886412293374,2039.714655070122
2022-03-28,1836.107408766059,1551.2203681164494,2102.196325895401
2022-03-29,1830.9133792487182,1580.8867426399581,2106.2787871038286
2022-03-30,1828.3686385442497,1558.3334200706593,2106.246186604634
2022-03-31,1822.3607500371072,1547.717954116454,2100.0187150938373
2022-04-01,1823.1555423053699,1526.3986412263052,2098.4609916160016
2022-04-04,1817.611502067831,1531.362374955504,2096.0337989737254
2022-04-05,1814.9322534270298,1540.4145538984526,2081.0635534394073
2022-04-06,1815.5815983035416,1532.4332326427102,2115.265930406537
2022-04-07,1812.8269169449181,1519.8022407912713,2079.5944061023183
2022-04-08,1816.8711620800016,1549.064032601162,2090.239241565771
2022-04-09,1825.9287913380247,1555.56421360962,2118.8197069000203
2022-04-11,1820.455194088625,1561.7986329221776,2069.1509591557437
2022-04-12,1820.4312671411647,1536.5443743715207,2079.4813701838443
2022-04-13,1823.4648791257328,1548.9852708776218,2120.2484242435416
2022-04-14,1822.786508486519,1547.1847620189963,2099.7708360409115
2022-04-16,1839.0059555697699,1576.4620494306103,2136.10098250523
2022-04-17,1749.1840548719763,1485.7913211221708,2032.4412640932753
2022-04-18,1835.1613941225933,1550.486204520588,2110.2453211805596
2022-04-19,1835.3821146077705,1565.1319942421876,2140.311076139062
2022-04-20,1838.2891495909057,1560.861367603805,2121.7712527318326
